STATION               STATION_NAME                         ELEVATI LATITU LONGIT DATE PRCP   TMAX   TMIN
-----------------     -------------------------------------------- ------ ------ ----------- ------ ----
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999      9
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     -7
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     -9
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999      1
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.04-9999     -4
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     26
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     26
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     27
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     17
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     18
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     36
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     27
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999      8
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     24
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     26
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     17
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999      7
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999    -16
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999    -17
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     11
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     17
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.02-9999     17
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.01-9999     26
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999      9
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.05-9999      8
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###  0.03-9999     28
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999     20
GHCND:FIE00146538                                     SODAN    24067.820627.7503   ###     0-9999      9
